Time  1 - default sample rate [s]	FS22DI_1_NTP_TIME [s]	FS22DI_1_DIAG_SEQ_NUMBER []	A1 [�m/m]	A2 [�m/m]	A3 [�m/m]	A4 [�m/m]	A5 [�m/m]	A6 [�m/m]	A7 [�m/m]	AT [�C]	B1 [�m/m]	B2 [�m/m]	B3 [�m/m]	B4 [�m/m]	B5 [�m/m]	B6 [�m/m]	B7 [�m/m]	B8 [�m/m]	B9 [�m/m]	B10 [�m/m]	B11 [�m/m]	B12 [�m/m]	B13 [�m/m]	B14 [�m/m]	B15 [�m/m]	BT [�C]	D1 [�m/m]	D2 [�m/m]	D3 [�m/m]	D4 [�m/m]	D5 [�m/m]	D6 [�m/m]	D7 [�m/m]	DT [�C]	E1 [�m/m]	E2 [�m/m]	E3 [�m/m]	E4 [�m/m]	E5 [�m/m]	E6 [�m/m]	E7 [�m/m]	E8 [�m/m]	E9 [�m/m]	E10 [�m/m]	E11 [�m/m]	E12 [�m/m]	E13 [�m/m]	E14 [�m/m]	E15 [�m/m]	ET [�C]
4,792	1683226676	2410,0	137,16	173,95	139,16	160,18	112,75	139,76	105,90	27,97	127,12	149,31	78,74	166,02	166,17	163,49	100,55	162,83	44,86	89,21	125,99	113,68	173,26	96,23	111,04	27,66	79,71	143,26	143,40	59,49	102,50	2,476	306,37	27,12	104,51	102,16	59,70	145,19	144,02	90,69	120,53	112,89	51,63	10,61	43,34	106,75	109,40	149,30	336,60	26,90	
4,794	1683226676	2410,0	137,57	174,36	139,37	159,88	113,15	137,98	107,37	27,85	128,15	149,31	79,75	164,90	164,55	162,88	99,95	162,13	46,55	90,20	125,50	114,07	174,14	95,64	110,36	27,87	79,71	142,85	144,11	58,89	101,30	2,674	306,17	27,04	104,72	101,24	58,88	142,55	142,71	91,19	121,74	114,39	53,23	10,31	43,83	105,96	110,67	149,10	336,21	27,02	
4,796	1683226676	2410,0	138,09	175,28	139,97	160,18	112,75	140,16	105,70	27,87	126,71	147,47	78,84	166,02	166,17	165,10	101,46	162,43	46,26	89,61	124,91	112,40	174,82	95,45	109,49	27,70	79,71	142,65	143,40	60,09	101,70	1,882	306,47	27,03	104,31	101,03	58,68	143,97	143,82	92,00	120,74	113,19	52,63	11,10	42,65	106,65	110,67	150,27	337,96	26,86	
4,798	1683226676	2410,0	136,96	173,65	140,58	161,09	112,75	139,57	106,49	27,87	128,25	148,60	79,35	165,51	166,17	162,88	99,35	163,03	46,55	88,52	125,50	112,89	174,24	95,25	110,66	27,77	79,61	143,26	143,91	58,69	100,71	1,486	306,17	27,06	104,62	101,03	59,09	144,58	144,02	91,80	120,74	112,79	51,83	10,51	43,83	106,06	109,79	150,08	336,60	27,00	
4,800	1683226676	2410,0	137,78	174,67	139,97	160,89	112,75	139,17	106,29	27,98	127,22	148,29	78,94	165,51	165,66	163,29	100,95	163,03	45,36	89,71	124,71	112,89	174,24	96,82	111,24	27,77	79,71	142,65	144,11	59,49	101,40	1,981	305,78	27,04	105,03	100,72	59,09	143,77	144,52	90,79	121,14	113,99	52,03	10,21	43,04	107,54	109,69	149,88	335,43	27,00	
4,802	1683226676	2410,0	137,37	173,95	139,97	159,48	113,45	140,36	106,68	27,95	125,99	148,90	78,94	163,69	165,56	163,08	100,75	162,53	45,86	90,20	124,71	113,48	174,43	95,16	110,27	27,77	78,99	143,26	144,01	59,49	101,80	2,476	307,16	27,06	104,41	100,52	58,68	144,18	143,41	90,79	120,23	113,59	53,52	11,30	43,04	106,85	109,99	149,30	337,28	27,02	
4,804	1683226676	2410,0	137,78	173,95	138,96	160,68	112,95	139,07	105,90	27,85	126,30	147,78	78,94	166,12	165,56	163,69	99,35	163,03	45,16	90,40	123,92	113,29	173,84	96,23	110,46	27,87	79,61	142,44	144,21	60,29	101,90	2,377	306,47	27,02	104,10	100,93	59,29	144,28	143,41	91,40	120,74	113,99	52,23	11,10	42,85	106,36	110,18	149,00	337,09	27,03	
4,806	1683226676	2410,0	137,16	173,65	139,57	160,58	112,75	140,16	105,01	27,88	126,92	148,29	79,14	166,02	166,17	164,09	100,75	163,03	44,76	88,32	125,10	112,11	174,53	95,35	111,24	27,73	78,99	143,26	143,91	60,29	101,60	1,684	305,78	27,09	104,10	100,72	58,78	144,07	143,82	90,89	121,14	113,39	51,63	11,10	42,85	107,14	111,07	149,49	337,47	26,90	
4,808	1683226676	2410,0	137,78	174,56	140,68	160,68	112,36	140,16	106,09	27,77	126,40	148,39	79,75	165,41	164,85	162,98	100,85	162,13	45,46	89,11	125,40	112,60	173,45	95,64	110,27	27,83	80,32	143,26	145,02	60,89	101,70	2,674	306,47	26,94	104,72	100,72	59,39	143,16	143,21	90,29	120,33	113,79	52,03	10,80	43,34	107,34	110,18	149,30	337,47	27,07	
4,810	1683226676	2410,0	137,98	173,95	139,37	160,08	112,75	139,57	106,49	27,86	127,74	147,88	79,55	164,09	165,36	163,49	100,55	161,23	46,45	89,41	124,51	113,09	174,24	96,62	109,68	27,70	78,99	142,44	143,30	60,89	101,10	1,684	306,76	27,07	105,23	101,34	59,70	144,58	144,42	91,40	121,54	113,39	52,33	11,10	42,35	107,14	110,97	149,98	337,47	27,00	
4,812	1683226676	2460,0	137,98	173,95	140,17	159,68	112,55	139,76	105,80	27,81	126,71	149,21	79,14	164,09	165,16	163,08	100,95	163,03	45,96	89,01	124,91	113,29	173,45	94,86	111,24	27,82	78,99	143,36	144,51	59,49	102,50	2,476	306,76	26,97	104,92	101,34	59,39	143,47	142,81	90,79	121,44	113,99	51,63	11,40	44,23	107,14	108,81	148,90	336,60	27,05	
4,814	1683226676	2460,0	137,78	175,17	140,27	160,08	112,95	140,26	105,70	28,00	127,43	147,47	79,45	165,41	166,77	163,49	99,35	163,03	45,26	89,01	125,60	112,60	174,73	95,84	111,04	27,72	80,32	143,16	144,51	59,49	101,90	1,486	306,37	27,07	104,31	101,03	58,68	144,18	143,82	92,10	120,53	114,49	51,44	10,11	43,44	106,75	109,60	149,69	337,77	26,95	
4,816	1683226676	2460,0	137,16	173,75	140,17	159,78	112,36	138,58	106,59	27,71	126,71	147,27	78,33	164,19	165,96	163,18	100,05	162,73	46,45	89,80	124,02	113,78	173,45	95,84	110,46	27,75	79,71	143,46	144,01	59,89	101,70	2,278	306,57	26,89	104,92	100,42	59,29	143,36	143,41	91,60	120,74	115,09	53,03	10,90	42,45	105,96	109,40	148,51	336,99	26,97	
4,818	1683226676	2460,0	137,57	174,56	139,16	160,28	112,75	140,75	106,49	27,85	127,02	148,39	78,74	166,02	165,96	163,89	100,35	162,43	46,55	90,10	124,31	111,81	172,96	95,64	109,39	27,67	78,99	142,44	144,11	60,29	102,70	2,873	305,39	27,04	104,72	100,72	58,48	144,78	144,42	91,19	122,14	113,39	52,63	11,10	43,24	107,83	109,69	148,90	336,79	26,97	
4,820	1683226676	2460,0	136,96	174,16	141,18	160,48	112,36	139,96	106,19	27,85	127,63	148,09	79,45	165,41	165,46	163,29	100,15	162,83	45,66	88,52	125,89	113,38	174,53	94,86	110,07	27,79	80,32	143,05	145,12	59,69	102,10	1,882	307,16	26,97	105,23	100,21	59,09	143,87	143,21	90,59	121,34	112,99	53,23	11,10	43,54	106,95	110,38	150,47	337,57	27,02	
4,822	1683226676	2460,0	137,57	175,28	139,77	160,28	111,76	140,16	106,49	27,95	126,40	148,60	78,53	166,73	165,86	163,69	100,55	162,83	45,26	89,21	124,91	113,09	173,94	96,23	111,14	27,79	79,71	143,26	144,51	60,29	102,10	3,071	306,47	27,03	104,72	101,34	58,37	145,19	144,52	92,20	121,14	113,59	52,03	11,10	43,04	106,85	110,18	149,69	337,38	26,95	
4,824	1683226676	2460,0	137,16	173,75	140,58	160,28	112,95	139,76	106,78	27,96	128,25	148,70	79,75	164,09	165,26	163,69	101,25	162,23	45,26	89,80	125,79	113,97	173,94	95,64	111,34	27,70	79,71	142,14	144,51	59,89	101,90	2,873	306,57	27,11	104,62	101,24	59,90	143,47	142,71	91,60	121,54	112,99	51,73	10,61	43,24	106,95	109,99	150,08	337,57	26,86	
4,826	1683226676	2460,0	136,96	174,36	139,87	160,18	113,35	140,36	105,70	27,82	125,58	148,39	78,94	164,90	165,36	162,38	100,15	162,23	46,65	89,71	124,51	114,27	173,84	94,86	110,75	27,67	79,71	142,65	144,51	58,89	101,90	2,873	306,76	27,01	103,49	101,65	59,70	143,16	144,02	90,99	121,04	112,79	52,43	11,00	44,03	106,55	109,20	148,81	337,28	27,03	
4,828	1683226676	2460,0	137,57	175,28	140,78	159,88	113,95	139,17	105,50	27,85	127,02	148,49	79,35	165,41	166,77	162,98	100,25	163,43	46,06	90,00	124,51	112,99	174,73	95,25	111,14	27,77	78,99	143,26	144,51	59,49	101,60	1,684	305,78	27,04	104,00	101,13	59,70	144,58	144,52	89,79	120,53	113,39	51,83	11,10	43,83	107,44	110,48	149,49	336,79	26,92	
4,830	1683226676	2460,0	137,16	174,16	140,07	160,18	113,15	140,16	104,81	27,92	127,02	148,49	78,84	165,41	164,95	162,98	100,55	162,13	44,66	89,61	125,89	114,56	173,65	94,67	110,66	27,62	78,99	144,17	144,01	59,49	101,70	1,486	306,17	27,02	104,00	100,52	58,48	144,58	143,41	90,89	121,14	113,79	52,03	11,50	43,04	106,95	109,99	148,71	337,28	26,91	
4,832	1683226676	2460,0	137,37	173,65	140,68	160,38	113,15	140,75	105,31	27,87	127,53	147,88	78,33	165,51	165,56	162,08	100,25	162,83	45,46	89,21	124,91	113,48	175,22	96,03	110,75	27,73	79,71	141,32	145,62	60,09	101,90	2,278	304,89	26,98	104,10	100,42	58,68	144,38	143,82	89,89	119,93	113,39	51,83	10,41	43,83	107,54	110,58	149,30	337,38	26,97	
4,834	1683226676	2460,0	136,96	174,16	140,58	160,38	113,35	139,76	105,90	27,92	126,09	148,29	79,35	166,12	165,96	162,68	100,75	163,03	44,86	89,80	125,89	113,97	174,63	96,23	108,91	27,87	80,32	142,44	144,51	59,89	101,70	2,278	306,76	27,04	104,31	100,52	60,11	143,87	143,82	90,59	121,54	113,39	51,83	10,71	43,54	106,95	110,77	149,69	337,86	27,09	
4,836	1683226676	2460,0	136,96	174,46	139,97	160,68	111,86	139,67	107,08	27,95	126,92	148,19	78,33	166,73	166,57	163,29	100,55	162,83	46,75	89,41	125,10	113,78	174,53	96,23	111,14	27,73	80,32	142,34	144,71	58,89	102,70	2,080	305,58	27,06	104,10	101,03	59,29	144,99	144,63	91,09	120,53	112,89	52,93	11,40	43,44	106,16	109,99	149,30	336,60	27,03	
4,838	1683226676	2460,0	137,98	173,95	140,78	160,89	112,75	139,67	105,01	27,77	127,43	148,09	78,33	166,02	166,17	164,09	99,55	162,13	45,86	88,71	125,79	113,78	173,94	95,16	110,07	27,75	80,32	143,26	144,11	59,09	101,90	1,288	306,47	26,94	104,92	100,11	58,07	144,18	144,63	90,59	121,34	113,39	51,83	10,80	43,83	106,95	110,09	150,27	337,67	26,97	
4,840	1683226676	2460,0	136,35	174,77	140,07	161,29	112,85	139,57	105,21	27,85	126,92	149,21	78,63	164,90	165,76	162,08	100,15	162,83	45,66	89,01	125,30	113,68	174,14	95,45	110,95	27,84	79,71	143,05	145,12	59,69	102,90	1,981	306,37	27,04	104,10	101,95	59,09	144,38	144,42	89,89	121,74	113,59	52,03	11,50	43,54	107,05	109,60	150,08	337,09	26,95	
4,842	1683226676	2460,0	136,96	175,48	139,97	160,68	112,16	140,16	105,70	27,82	128,25	148,60	78,53	166,02	166,57	163,29	100,85	162,73	44,27	89,41	125,20	113,48	174,73	94,47	110,27	27,77	79,71	144,27	143,91	59,49	100,71	2,476	306,96	26,93	104,62	101,34	60,11	144,07	143,41	90,49	120,53	113,19	51,44	11,50	43,24	107,14	110,58	150,47	336,31	27,00	
4,844	1683226676	2460,0	137,37	173,14	140,58	160,08	112,75	139,17	106,19	27,88	126,30	147,37	78,74	164,90	165,66	162,98	100,35	162,13	46,45	89,90	125,79	114,07	173,45	96,72	109,68	27,82	79,61	142,95	145,12	59,29	102,50	1,486	305,58	27,09	103,49	99,60	59,49	143,97	143,92	90,99	120,94	113,99	53,03	11,70	44,33	106,55	109,99	148,61	337,18	27,00	
4,846	1683226676	2460,0	137,37	174,36	139,97	160,89	113,75	140,66	104,42	27,88	126,40	147,37	78,33	165,41	164,45	163,69	100,75	162,73	45,66	89,61	125,10	113,88	174,14	97,30	109,88	27,77	79,71	143,46	144,01	59,29	101,90	2,179	306,37	26,99	104,72	100,21	58,78	143,16	142,60	90,99	121,34	113,29	53,03	10,11	44,03	106,95	110,28	150,08	337,18	26,93	
4,848	1683226676	2460,0	137,57	174,26	139,57	160,58	112,55	139,76	106,49	27,90	127,02	147,78	78,53	164,90	165,06	162,48	100,85	162,23	45,36	89,61	124,91	113,09	174,53	97,30	110,75	27,82	80,94	143,87	143,91	59,69	103,10	2,575	305,68	27,12	104,72	100,32	60,11	144,28	143,92	91,19	120,94	114,09	52,53	11,10	43,34	106,95	110,48	150,27	338,16	27,06	
4,850	1683226676	2460,0	137,57	174,56	139,77	160,68	113,15	140,16	106,49	27,92	126,61	147,68	79,04	164,90	165,06	163,18	100,15	162,43	46,26	90,30	124,91	113,58	174,24	95,25	110,66	27,79	80,32	142,65	144,71	60,29	100,71	1,981	305,88	27,02	104,41	99,50	57,86	144,48	143,92	90,99	121,74	113,99	52,23	11,10	43,83	106,95	109,20	149,69	337,18	26,97	
4,852	1683226676	2460,0	136,76	175,78	140,38	160,89	111,96	139,17	106,59	27,92	126,40	148,09	79,14	164,80	165,36	163,29	100,85	162,83	45,26	89,41	125,99	112,99	173,94	95,55	111,34	27,83	79,71	144,48	143,91	60,09	103,40	1,783	306,76	27,04	104,72	101,03	59,90	143,77	143,21	90,19	121,44	112,99	52,23	11,10	43,93	107,34	110,38	149,10	337,96	27,00	
4,854	1683226676	2460,0	137,98	173,75	141,08	160,89	112,36	140,16	105,21	27,71	126,50	148,09	77,92	164,80	166,17	163,49	100,75	162,23	46,65	89,80	124,12	113,38	173,84	97,60	110,75	27,82	79,61	142,14	145,02	59,89	101,90	1,783	307,06	26,89	104,51	100,83	58,78	143,47	143,21	91,19	120,53	113,39	52,23	11,20	43,04	106,95	110,09	149,30	336,79	27,05	
4,856	1683226676	2460,0	137,57	173,95	139,57	161,59	112,16	139,76	106,09	27,87	126,71	147,88	78,53	164,70	165,76	164,09	100,55	162,83	45,26	89,51	125,89	113,38	174,04	96,52	110,85	27,72	78,99	142,04	143,91	59,09	100,71	3,467	306,96	27,01	104,92	101,13	59,09	143,67	143,82	90,59	121,74	113,39	52,23	10,90	43,04	106,36	110,18	149,49	336,99	27,02	
4,858	1683226676	2460,0	137,78	173,75	140,78	160,08	113,05	140,16	105,01	27,88	128,25	148,29	78,94	164,09	164,55	163,59	100,35	162,53	45,96	89,61	124,12	114,17	173,84	96,23	111,34	27,65	79,71	142,14	145,12	60,69	102,30	2,674	306,37	27,09	104,00	100,52	59,49	143,26	143,92	91,60	121,14	113,99	52,43	11,30	43,44	106,55	109,79	149,30	337,57	26,95	
4,860	1683226676	2460,0	137,37	174,77	140,68	160,48	111,66	139,67	105,11	27,88	126,61	148,29	78,94	164,70	165,56	162,48	100,55	163,73	45,46	89,61	126,49	112,40	174,82	95,35	110,07	27,68	78,99	143,05	145,12	60,69	103,10	1,981	306,96	27,07	105,03	100,72	59,29	144,68	143,41	89,79	121,14	114,19	51,63	11,10	43,54	107,05	111,16	149,30	337,09	26,91	
4,862	1683226676	2460,0	136,96	174,56	139,37	159,58	113,05	138,77	106,19	27,88	127,74	148,29	79,24	165,31	165,56	162,78	100,85	161,23	46,06	90,30	125,30	114,56	172,67	94,96	110,36	27,73	80,32	142,44	143,30	59,09	101,90	2,873	306,47	27,07	104,51	100,11	58,07	144,58	143,41	91,40	121,74	113,39	51,73	10,80	44,03	106,36	109,79	149,10	337,28	26,97	
4,864	1683226676	2460,0	138,19	174,46	139,37	160,89	112,36	139,67	105,70	27,85	126,92	147,57	78,74	165,92	166,57	164,49	99,65	162,23	45,36	89,80	125,70	113,78	174,53	95,84	109,68	27,79	79,71	142,95	143,30	60,29	102,50	2,873	307,06	26,94	104,10	99,91	59,60	144,99	144,02	92,00	121,34	112,89	52,03	11,00	44,42	107,24	109,99	149,49	338,16	27,03	
4,866	1683226676	2460,0	136,76	174,77	139,77	160,48	112,36	139,07	106,49	27,85	126,30	147,88	79,14	166,02	165,56	164,59	99,85	162,23	44,76	88,71	125,30	113,97	174,04	95,84	110,95	27,71	79,71	143,05	143,80	59,49	102,50	1,486	307,16	26,97	104,10	100,83	60,11	144,07	143,21	91,09	120,74	113,49	51,83	11,10	43,04	106,55	109,99	149,49	336,79	26,93	
4,868	1683226676	2460,0	137,98	173,75	140,58	160,89	113,15	140,16	106,98	27,85	127,12	148,80	78,94	164,90	165,76	162,48	100,75	162,53	46,06	90,80	125,20	114,17	174,43	95,35	110,85	27,72	79,71	142,14	144,31	59,89	101,60	1,882	305,68	26,94	104,51	101,24	58,48	144,89	143,82	91,60	121,74	113,99	52,63	11,10	43,83	106,36	109,30	149,30	336,60	26,95	
4,870	1683226676	2460,0	137,78	173,55	139,97	160,48	111,96	139,76	105,01	27,92	128,35	147,88	78,94	164,90	166,07	163,69	100,75	161,63	45,26	90,10	125,70	113,38	174,24	95,25	111,82	27,65	80,32	143,66	144,01	59,69	101,90	2,674	307,16	26,97	105,13	101,34	59,90	144,18	144,02	90,99	121,34	112,79	52,03	11,40	42,85	107,44	110,18	150,08	336,99	26,87	
4,872	1683226676	2460,0	137,37	175,07	140,58	161,29	112,55	139,76	106,09	27,88	126,61	148,29	78,33	166,12	165,36	162,68	100,75	162,73	46,26	89,71	124,31	113,78	173,65	96,23	111,34	27,82	78,99	143,05	144,92	59,69	102,50	3,170	306,96	27,02	104,41	100,72	59,19	145,39	143,82	90,79	121,14	113,79	52,43	11,10	43,24	106,75	110,18	149,30	337,18	27,00	
4,874	1683226676	2460,0	138,19	174,16	140,07	161,09	112,75	140,16	105,60	27,87	126,71	147,88	79,04	164,90	165,06	164,09	100,05	163,63	45,86	89,80	124,41	113,29	173,94	96,03	110,27	27,67	80,32	142,85	144,11	60,29	101,90	2,080	305,98	27,01	105,13	100,52	59,60	145,49	143,21	90,59	121,14	113,39	53,13	10,51	42,85	107,24	109,40	150,08	337,38	26,90	
4,876	1683226676	2460,0	137,57	173,95	140,07	159,88	113,15	140,16	106,49	27,92	127,84	148,49	78,53	166,73	165,76	162,68	101,46	161,63	46,26	89,01	125,70	112,79	174,24	95,55	111,24	27,75	80,94	143,26	144,01	58,89	102,50	1,684	306,17	27,09	105,03	100,93	58,48	144,99	144,63	90,79	120,74	113,39	53,72	11,10	43,83	107,14	108,62	149,30	336,02	26,97	
4,878	1683226676	2460,0	138,39	174,77	140,58	160,38	113,65	139,67	106,09	27,81	127,12	147,88	78,74	164,70	165,86	163,49	100,55	162,53	46,55	89,80	125,20	113,97	174,73	95,64	110,27	27,76	79,61	142,85	144,51	58,89	101,40	1,882	305,68	26,99	104,51	100,21	58,68	143,77	143,31	90,79	120,94	113,39	52,63	11,10	43,24	107,73	110,58	149,10	336,99	27,00	
4,880	1683226676	2460,0	136,96	173,75	140,58	160,48	112,75	140,66	106,29	27,92	125,89	147,37	79,96	164,90	164,55	163,29	99,95	162,23	45,66	88,52	124,31	113,97	174,53	95,25	110,46	27,75	79,61	142,34	144,31	60,09	103,50	3,071	306,37	27,02	104,51	100,62	58,27	144,28	143,01	90,79	120,94	113,99	52,03	11,70	42,65	107,24	110,58	150,27	335,92	26,91	
4,882	1683226676	2460,0	137,37	173,95	139,87	160,28	112,75	139,67	106,49	27,77	126,92	149,11	78,74	166,12	165,66	163,59	99,95	162,83	46,55	89,21	124,71	113,38	173,94	96,62	110,66	27,73	78,38	142,44	144,71	59,89	101,90	1,684	306,47	26,97	104,10	100,93	59,19	144,28	143,92	90,99	121,14	112,99	52,23	10,71	43,44	106,95	110,58	149,30	337,18	26,90	
4,884	1683226676	2460,0	136,96	174,87	141,18	160,08	113,15	138,77	105,60	27,81	126,50	147,78	78,33	164,80	166,17	163,59	100,25	162,53	46,26	90,20	124,91	113,38	174,14	96,33	109,88	27,79	78,99	144,48	144,51	59,49	101,90	2,873	306,57	26,99	105,23	101,34	60,41	144,38	143,41	90,99	121,44	112,39	52,83	10,90	43,64	106,75	110,58	149,88	337,28	27,03	
4,886	1683226676	2460,0	137,78	174,36	139,77	161,09	113,15	139,76	105,70	27,71	127,94	148,90	78,84	165,51	165,46	162,88	100,95	162,23	45,26	90,20	125,10	113,48	174,24	95,84	109,49	27,73	79,61	143,26	144,51	58,29	101,40	1,981	305,39	26,97	104,41	101,24	58,27	144,38	143,82	91,30	120,94	113,39	52,23	10,61	44,42	105,96	109,60	149,30	337,77	26,97	
4,888	1683226676	2460,0	137,37	174,36	140,58	159,98	112,75	140,16	104,81	27,90	127,12	148,90	79,55	166,12	165,96	163,18	100,75	162,43	45,06	89,80	125,60	113,38	175,22	96,03	111,04	27,77	80,32	142,85	144,01	60,29	101,60	2,476	306,76	26,98	104,51	101,85	59,19	144,89	142,81	90,99	121,44	113,39	52,23	11,10	43,64	106,95	110,67	148,90	337,67	26,95	
4,890	1683226676	2460,0	136,96	173,75	139,97	160,28	112,75	139,67	105,21	27,85	127,53	148,49	79,24	166,73	164,55	163,08	99,95	162,13	45,16	90,30	125,10	113,88	174,04	96,62	110,27	27,71	80,94	142,14	144,92	59,29	103,10	2,278	306,37	26,97	104,82	100,32	59,09	144,07	143,72	90,59	121,74	113,99	52,43	10,90	44,03	107,14	109,99	149,49	338,35	26,93	
4,892	1683226676	2460,0	137,37	174,36	140,17	161,39	112,36	141,35	106,19	27,87	127,94	148,39	78,84	166,12	164,95	164,49	99,65	162,43	46,26	89,21	124,12	113,38	174,24	95,64	111,43	27,77	79,71	142,85	144,31	59,69	101,90	3,269	305,98	27,01	103,69	100,93	58,88	144,58	142,81	91,40	121,94	113,39	53,43	10,51	42,45	106,75	110,18	150,27	336,89	26,95	
4,894	1683226676	2460,0	136,96	173,14	140,48	160,58	113,35	139,57	105,21	27,88	127,43	149,11	78,43	164,70	164,75	162,68	100,75	162,43	44,86	89,21	124,12	114,17	173,65	96,23	108,91	27,75	78,99	142,75	144,41	59,49	101,60	2,278	304,99	27,07	105,64	101,54	60,41	144,78	143,11	90,19	122,14	113,99	52,23	10,51	43,04	106,95	109,20	148,61	338,35	26,91	
4,896	1683226676	2460,0	137,78	174,87	139,77	160,08	113,45	139,76	105,70	27,92	126,71	148,29	78,33	166,73	166,47	162,08	100,35	162,83	46,06	89,61	124,51	112,79	173,45	95,16	110,46	27,67	79,71	142,65	143,80	59,89	101,90	3,467	304,99	27,02	104,31	100,72	59,29	144,99	143,92	90,19	121,54	113,39	52,63	11,10	42,65	107,14	109,40	148,61	336,89	26,97	
4,898	1683226676	2460,0	137,78	173,95	139,97	161,09	113,55	140,75	105,31	27,79	127,53	148,29	78,74	164,70	165,46	163,18	100,75	162,43	45,96	89,01	124,71	114,37	174,43	94,57	110,07	27,79	80,32	143,26	144,51	59,89	100,90	1,684	305,58	26,97	104,82	100,52	59,70	143,67	143,82	90,99	120,94	113,99	52,03	10,71	43,04	107,44	110,48	149,49	337,28	27,02	
4,900	1683226676	2460,0	136,96	175,38	140,17	160,18	114,15	140,16	106,19	27,92	126,40	147,88	79,14	166,12	165,36	163,08	100,85	162,83	46,26	88,91	123,92	113,68	173,26	97,01	111,34	27,79	79,71	142,44	144,51	60,09	101,70	2,873	306,76	27,12	104,00	100,52	57,86	145,19	144,02	91,40	121,44	113,39	52,43	10,90	42,85	106,95	109,79	149,20	335,63	26,96	
4,902	1683226676	2460,0	137,37	174,56	141,08	160,48	113,35	140,75	104,81	27,92	126,50	147,88	79,75	164,80	166,47	162,88	100,55	160,63	45,66	88,91	124,31	114,17	174,04	94,86	110,17	27,67	79,61	143,26	144,51	59,49	101,70	2,476	306,57	27,02	104,51	100,52	58,68	143,77	143,92	91,19	121,14	112,79	52,33	10,61	42,85	106,95	110,48	148,81	337,28	26,90	
4,904	1683226676	2460,0	137,16	172,84	139,97	161,69	112,75	139,67	105,70	27,98	125,58	148,49	79,75	165,41	165,26	162,08	100,25	161,23	46,26	90,00	124,71	113,58	172,57	95,84	109,78	27,82	79,71	142,85	144,51	59,49	101,30	1,882	306,76	27,09	104,10	100,32	58,48	143,47	143,92	90,49	122,04	113,99	52,33	10,71	42,45	106,75	109,99	148,90	338,74	27,05	
4,906	1683226676	2460,0	137,68	174,56	140,58	161,09	112,55	139,76	105,80	27,82	127,22	148,09	79,04	165,41	166,07	163,69	100,25	163,63	46,06	91,19	124,71	113,78	174,82	96,62	110,75	27,75	80,94	143,26	144,51	60,29	101,10	2,873	305,88	26,93	104,41	99,60	59,09	144,89	143,41	90,79	121,14	113,39	51,63	10,71	43,54	107,34	110,38	149,69	336,99	26,97	
4,908	1683226676	2460,0	137,16	173,14	139,87	159,68	112,75	139,67	105,01	27,92	127,12	149,11	80,06	164,70	165,36	162,68	101,15	162,43	45,86	89,21	124,51	114,17	174,24	96,23	111,14	27,71	79,71	142,85	144,01	60,29	101,40	1,981	306,47	27,12	104,51	101,54	58,37	142,96	142,60	91,19	120,94	114,49	52,53	11,30	42,85	107,64	110,28	149,00	337,18	27,02	
4,910	1683226676	2460,0	137,78	174,87	139,97	160,89	112,36	140,16	105,70	27,98	126,50	148,29	78,74	166,02	165,36	163,89	99,85	162,73	45,46	89,11	124,91	113,38	174,53	96,62	110,66	27,72	80,32	143,87	143,91	60,89	101,90	2,476	306,17	27,11	103,79	99,91	57,86	144,07	145,03	91,40	122,24	113,29	52,43	11,10	44,33	106,75	110,67	149,30	337,57	26,95	
4,912	1683226676	2510,0	137,37	174,16	139,77	160,68	113,05	139,17	105,90	27,98	126,09	148,29	79,35	163,69	166,37	164,29	100,55	164,32	46,26	90,30	125,99	113,38	174,24	96,62	111,63	27,71	79,71	143,56	143,30	59,49	101,30	2,575	306,17	27,04	104,31	100,72	60,11	143,77	144,42	91,40	121,14	113,99	53,23	11,30	43,54	107,05	109,50	149,20	336,21	26,87	
4,914	1683226676	2510,0	137,37	174,77	140,17	159,78	113,15	139,76	106,19	27,85	126,50	148,70	79,45	165,51	164,75	162,18	101,05	162,43	45,66	89,80	125,20	113,58	173,65	96,43	110,75	27,77	80,32	143,05	144,01	60,29	101,90	1,882	305,58	26,94	104,51	100,62	59,49	145,09	144,02	91,60	120,94	113,99	52,63	12,09	44,33	106,46	109,60	149,69	337,09	27,07	
4,916	1683226676	2510,0	137,16	174,56	139,77	160,68	113,45	140,36	105,60	27,81	125,89	148,09	79,04	166,02	165,86	163,49	99,65	162,43	46,45	90,00	123,92	113,38	174,14	96,23	110,95	27,77	79,71	144,27	144,11	59,29	100,71	2,575	307,75	26,99	103,90	101,03	60,11	144,58	144,52	90,59	121,94	113,39	52,53	11,10	42,15	107,14	110,18	149,49	337,09	27,00	
4,918	1683226676	2510,0	137,16	173,65	140,58	160,58	112,75	139,17	106,68	27,96	127,02	148,60	78,63	164,90	164,45	163,49	99,55	162,83	44,47	89,41	125,10	113,78	174,04	95,25	110,36	27,73	79,71	142,65	144,41	59,29	102,80	2,476	307,16	27,09	104,00	101,95	59,09	142,96	143,21	91,19	122,54	113,99	52,03	10,90	44,03	106,85	109,99	149,20	337,28	26,97	
4,920	1683226676	2510,0	137,98	174,77	140,78	160,68	112,75	139,76	105,60	27,79	126,92	147,88	79,14	164,80	166,07	163,89	100,15	163,03	46,06	89,41	124,91	112,40	174,43	94,86	111,24	27,92	78,99	142,85	144,51	59,89	101,90	3,863	305,39	26,89	104,10	99,80	59,39	144,78	144,02	92,00	120,74	114,39	51,83	9,912	43,34	106,36	109,99	149,30	337,28	27,09	
